POISSON EQUATION FINITE-DIFFERENCE METHOD

 
 I  J    X(I)        Y(J)         W(I,J)          True         Error 

 
 1  1  0.20000000  0.20000000    0.03959894    0.04000000    0.00040106
 
 1  2  0.20000000  0.40000000    0.07919789    0.08000000    0.00080211
  
 1  3  0.20000000  0.60000000    0.11900856    0.12000000    0.00099144
 
 1  4  0.20000000  0.80000000    0.15924263    0.16000000    0.00075737
 
 2  1  0.40000000  0.20000000    0.07947498    0.08000000    0.00052502
 
 2  2  0.40000000  0.40000000    0.15894996    0.16000000    0.00105004
  
 2  3  0.40000000  0.60000000    0.23870208    0.24000000    0.00129792
  
 2  4  0.40000000  0.80000000    0.31900848    0.32000000    0.00099152
 
 3  1  0.60000000  0.20000000    0.11957524    0.12000000    0.00042476

 3  2  0.60000000  0.40000000    0.23915047    0.24000000    0.00084953
  
 3  3  0.60000000  0.60000000    0.35894991    0.36000000    0.00105009
 
 3  4  0.60000000  0.80000000    0.47919779    0.48000000    0.00080221
  
 4  1  0.80000000  0.20000000    0.15978762    0.16000000    0.00021238
 
 4  2  0.80000000  0.40000000    0.31957523    0.32000000    0.00042477
 
 4  3  0.80000000  0.60000000    0.47947495    0.48000000    0.00052505
  
 4  4  0.80000000  0.80000000    0.63959889    0.64000000    0.00040111

Convergence occurred on iteration number: 14
