POISSON EQUATION FINITE-DIFFERENCE METHOD

  
I  J    X(I)        Y(J)         W(I,J)          True         Error 


1  1  0.20000000  0.10000000    1.01937092    1.02020134    0.00083042
 
1  2  0.20000000  0.20000000    1.03915070    1.04081077    0.00166008
  
1  3  0.20000000  0.30000000    1.05943614    1.06183655    0.00240041
  
1  4  0.20000000  0.40000000    1.08032398    1.08328707    0.00296309
  
1  5  0.20000000  0.50000000    1.10190134    1.10517092    0.00326958
  
1  6  0.20000000  0.60000000    1.12423619    1.12749685    0.00326066
  
1  7  0.20000000  0.70000000    1.14736853    1.15027380    0.00290527
  
1  8  0.20000000  0.80000000    1.17130346    1.17351087    0.00220741
  
1  9  0.20000000  0.90000000    1.19600668    1.19721736    0.00121069
  
2  1  0.40000000  0.10000000    1.03930638    1.04081077    0.00150440
  
2  2  0.40000000  0.20000000    1.08027864    1.08328707    0.00300843
  
2  3  0.40000000  0.30000000    1.12314523    1.12749685    0.00435163
  
2  4  0.40000000  0.40000000    1.16813704    1.17351087    0.00537384
  
2  5  0.40000000  0.50000000    1.21547025    1.22140276    0.00593250
  
2  6  0.40000000  0.60000000    1.26532912    1.27124915    0.00592003
  
2  7  0.40000000  0.70000000    1.31785037    1.32312981    0.00527944
  
2  8  0.40000000  0.80000000    1.37311111    1.37712776    0.00401665
  
2  9  0.40000000  0.90000000    1.43112168    1.43332941    0.00220774
  
3  1  0.60000000  0.10000000    1.05986677    1.06183655    0.00196978
  
3  2  0.60000000  0.20000000    1.12355556    1.12749685    0.00394129
  
3  3  0.60000000  0.30000000    1.19151356    1.19721736    0.00570380
  
3  4  0.60000000  0.40000000    1.26420238    1.27124915    0.00704677
  
3  5  0.60000000  0.50000000    1.34207621    1.34985881    0.00778259
  
3  6  0.60000000  0.60000000    1.42556001    1.43332941    0.00776941
  
3  7  0.60000000  0.70000000    1.51502986    1.52196156    0.00693169
  
3  8  0.60000000  0.80000000    1.61079811    1.61607440    0.00527630
  
3  9  0.60000000  0.90000000    1.71310502    1.71600686    0.00290184
  
4  1  0.80000000  0.10000000    1.08109281    1.08328707    0.00219426
  
4  2  0.80000000  0.20000000    1.16911636    1.17351087    0.00439451
  
4  3  0.80000000  0.30000000    1.26488494    1.27124915    0.00636421
  
4  4  0.80000000  0.40000000    1.36926094    1.37712776    0.00786683
  
4  5  0.80000000  0.50000000    1.48313325    1.49182470    0.00869145
  
4  6  0.80000000  0.60000000    1.60739587    1.61607440    0.00867853
  
4  7  0.80000000  0.70000000    1.74292932    1.75067250    0.00774318
  
4  8  0.80000000  0.80000000    1.89058765    1.89648088    0.00589323
  
4  9  0.80000000  0.90000000    2.05119321    2.05443321    0.00324000
  
5  1  1.00000000  0.10000000    1.10300268    1.10517092    0.00216824
  
5  2  1.00000000  0.20000000    1.21705356    1.22140276    0.00434920
  
5  3  1.00000000  0.30000000    1.34355348    1.34985881    0.00630532
  
5  4  1.00000000  0.40000000    1.48402570    1.49182470    0.00779900
  
5  5  1.00000000  0.50000000    1.64010273    1.64872127    0.00861854
  
5  6  1.00000000  0.60000000    1.81351450    1.82211880    0.00860430
  
5  7  1.00000000  0.70000000    2.00608039    2.01375271    0.00767232
  
