POISSON EQUATION FINITE-DIFFERENCE METHOD

  I  J    X(I)        Y(J)         W(I,J)          True         Error 

  1  1  0.40000000  0.33333333    3.20846630    3.54251852    0.33405222
  1  2  0.40000000  0.66666667    4.11078588    4.63762963    0.52684375
  1  3  0.40000000  1.00000000    4.88972660    5.52533333    0.63560673
  1  4  0.40000000  1.33333333    5.51618307    6.20562963    0.68944656
  1  5  0.40000000  1.66666667    5.97350119    6.67851852    0.70501733
  1  6  0.40000000  2.00000000    6.25118336    6.94400000    0.69281664
  1  7  0.40000000  2.33333333    6.34211271    7.00207407    0.65996137
  1  8  0.40000000  2.66666667    6.24122131    6.85274074    0.61151943
  1  9  0.40000000  3.00000000    5.94481581    6.49600000    0.55118419
  1 10  0.40000000  3.33333333    5.45024705    5.93185185    0.48160480
  1 11  0.40000000  3.66666667    4.75580887    5.16029630    0.40448742
  1 12  0.40000000  4.00000000    3.86086667    4.18133333    0.32046666
  1 13  0.40000000  4.33333333    2.76635248    2.99496296    0.22861048
  1 14  0.40000000  4.66666667    1.47605916    1.60118519    0.12512602
  2  1  0.80000000  0.33333333    4.72585910    5.23081481    0.50495571
  2  2  0.80000000  0.66666667    5.27957920    6.10903704    0.82945784
  2  3  0.80000000  1.00000000    5.76826129    6.79466667    1.02640537
  2  4  0.80000000  1.33333333    6.15626724    7.28770370    1.13143646
  2  5  0.80000000  1.66666667    6.41935334    7.58814815    1.16879480
  2  6  0.80000000  2.00000000    6.54052157    7.69600000    1.15547843
  2  7  0.80000000  2.33333333    6.50745583    7.61125926    1.10380343
  2  8  0.80000000  2.66666667    6.31099147    7.33392593    1.02293446
  2  9  0.80000000  3.00000000    5.94421746    6.86400000    0.91978254
  2 10  0.80000000  3.33333333    5.40198130    6.20148148    0.79950018
  2 11  0.80000000  3.66666667    4.68068541    5.34637037    0.66568496
  2 12  0.80000000  4.00000000    3.77834779    4.29866667    0.52031888
  2 13  0.80000000  4.33333333    2.69496880    3.05837037    0.36340157
  2 14  0.80000000  4.66666667    1.43329634    1.62548148    0.19218514
  3  1  1.20000000  0.33333333    6.02996283    6.62044444    0.59048162
  3  2  1.20000000  0.66666667    6.31125802    7.30311111    0.99185309
  3  3  1.20000000  1.00000000    6.56100040    7.80800000    1.24699960
  3  4  1.20000000  1.33333333    6.74546677    8.13511111    1.38964434
  3  5  1.20000000  1.66666667    6.83879801    8.28444444    1.44564643
  3  6  1.20000000  2.00000000    6.82118745    8.25600000    1.43481255
  3  7  1.20000000  2.33333333    6.67732374    8.04977778    1.37245403
  3  8  1.20000000  2.66666667    6.39523829    7.66577778    1.27053949
  3  9  1.20000000  3.00000000    5.96551539    7.10400000    1.13848461
  3 10  1.20000000  3.33333333    5.38079233    6.36444444    0.98365211
  3 11  1.20000000  3.66666667    4.63549279    5.44711111    0.81161833
  3 12  1.20000000  4.00000000    3.72575925    4.35200000    0.62624075
  3 13  1.20000000  4.33333333    2.64955850    3.07911111    0.42955261
  3 14  1.20000000  4.66666667    1.40690266    1.62844444    0.22154178
  4  1  1.60000000  0.33333333    7.08697871    7.71140741    0.62442869
  4  2  1.60000000  0.66666667    7.15760366    8.21985185    1.06224819
  4  3  1.60000000  1.00000000    7.21696773    8.56533333    1.34836560
  4  4  1.60000000  1.33333333    7.23513164    8.74785185    1.51272021
  4  5  1.60000000  1.66666667    7.18722964    8.76740741    1.58017776
  4  6  1.60000000  2.00000000    7.05288864    8.62400000    1.57111136
  4  7  1.60000000  2.33333333    6.81546174    8.31762963    1.50216789
  4  8  1.60000000  2.66666667    6.46131379    7.84829630    1.38698251
  4  9  1.60000000  3.00000000    5.97924433    7.21600000    1.23675567
  4 10  1.60000000  3.33333333    5.36006427    6.42074074    1.06067647
  4 11  1.60000000  3.66666667    4.59631588    5.46251852    0.86620264
  4 12  1.60000000  4.00000000    3.68211428    4.34133333    0.65921906
  4 13  1.60000000  4.33333333    2.61307427    3.05718519    0.44411091
  4 14  1.60000000  4.66666667    1.38625519    1.61007407    0.22381889
  5  1  2.00000000  0.33333333    7.87917479    8.50370370    0.62452891
  5  2  2.00000000  0.66666667    7.78939574    8.85925926    1.06986352
  5  3  2.00000000  1.00000000    7.70149406    9.06666667    1.36517261
  5  4  2.00000000  1.33333333    7.58916219    9.12592593    1.53676374
  5  5  2.00000000  1.66666667    7.42936421    9.03703704    1.60767282
  5  6  2.00000000  2.00000000    7.20226430    8.80000000    1.59773570
  5  7  2.00000000  2.33333333    6.89090883    8.41481481    1.52390599
  5  8  2.00000000  2.66666667    6.48082702    7.88148148    1.40065446
  5  9  2.00000000  3.00000000    5.95964329    7.20000000    1.24035671
  5 10  2.00000000  3.33333333    5.31674538    6.37037037    1.05362499
  5 11  2.00000000  3.66666667    4.54302237    5.39259259    0.84957022
  5 12  2.00000000  4.00000000    3.63066736    4.26666667    0.63599930
  5 13  2.00000000  4.33333333    2.57302271    2.99259259    0.41956988
  5 14  2.00000000  4.66666667    1.36442646    1.57037037    0.20594391
  6  1  2.40000000  0.33333333    8.39589518    8.99733333    0.60143816
  6  2  2.40000000  0.66666667    8.18771517    9.22133333    1.03361817
  6  3  2.40000000  1.00000000    7.99043062    9.31200000    1.32156938
  6  4  2.40000000  1.33333333    7.78077471    9.26933333    1.48855863
  6  5  2.40000000  1.66666667    7.53764435    9.09333333    1.55568899
  6  6  2.40000000  2.00000000    7.24219872    8.78400000    1.54180128
  6  7  2.40000000  2.33333333    6.87775261    8.34133333    1.46358072
  6  8  2.40000000  2.66666667    6.42955779    7.76533333    1.33577555
  6  9  2.40000000  3.00000000    5.88454144    7.05600000    1.17145856
  6 10  2.40000000  3.33333333    5.23104541    6.21333333    0.98228792
  6 11  2.40000000  3.66666667    4.45858972    5.23733333    0.77874362
  6 12  2.40000000  4.00000000    3.55766831    4.12800000    0.57033169
  6 13  2.40000000  4.33333333    2.51957221    2.88533333    0.36576112
  6 14  2.40000000  4.66666667    1.33622400    1.50933333    0.17310934
  7  1  2.80000000  0.33333333    8.63011460    9.19229630    0.56218170
  7  2  2.80000000  0.66666667    8.33957590    9.30607407    0.96649817
  7  3  2.80000000  1.00000000    8.06641271    9.30133333    1.23492062
  7  4  2.80000000  1.33333333    7.78982120    9.17807407    1.38825287
  7  5  2.80000000  1.66666667    7.49048923    8.93629630    1.44580706
  7  6  2.80000000  2.00000000    7.15072460    8.57600000    1.42527540
  7  7  2.80000000  2.33333333    6.75442530    8.09718519    1.34275988
  7  8  2.80000000  2.66666667    6.28694232    7.49985185    1.21290953
  7  9  2.80000000  3.00000000    5.73488110    6.78400000    1.04911890
  7 10  2.80000000  3.33333333    5.08587812    5.94962963    0.86375151
  7 11  2.80000000  3.66666667    4.32837846    4.99674074    0.66836228
  7 12  2.80000000  4.00000000    3.45143158    3.92533333    0.47390175
  7 13  2.80000000  4.33333333    2.44451553    2.73540741    0.29089188
  7 14  2.80000000  4.66666667    1.29739343    1.42696296    0.12956953
  8  1  3.20000000  0.33333333    8.57690552    9.08859259    0.51168707
  8  2  3.20000000  0.66666667    8.23564669    9.11348148    0.87783479
  8  3  3.20000000  1.00000000    7.91656236    9.03466667    1.11810430
  8  4  3.20000000  1.33333333    7.60084471    8.85214815    1.25130344
  8  5  3.20000000  1.66666667    7.27078794    8.56592593    1.29513799
  8  6  3.20000000  2.00000000    6.90989117    8.17600000    1.26610883
  8  7  3.20000000  2.33333333    6.50283328    7.68237037    1.17953709
  8  8  3.20000000  2.66666667    6.03535029    7.08503704    1.04968674
  8  9  3.20000000  3.00000000    5.49404767    6.38400000    0.88995233
  8 10  3.20000000  3.33333333    4.86617683    5.57925926    0.71308243
  8 11  3.20000000  3.66666667    4.13940197    4.67081481    0.53141284
  8 12  3.20000000  4.00000000    3.30158123    3.65866667    0.35708544
  8 13  3.20000000  4.33333333    2.34058631    2.54281481    0.20222850
  8 14  3.20000000  4.66666667    1.24418436    1.32325926    0.07907490
  9  1  3.60000000  0.33333333    8.23268389    8.68622222    0.45353833
  9  2  3.60000000  0.66666667    7.86901695    8.64355556    0.77453860
  9  3  3.60000000  1.00000000    7.53109477    8.51200000    0.98090523
  9  4  3.60000000  1.33333333    7.20174732    8.29155556    1.08980824
