FINITE DIFFERENCE METHOD FOR THE WAVE EQUATION

  
I    X(I)                 W(X(I),T(J)     Y(X,T=1)      Error 
 1  0.00000000            0.00000000    -0.00000000     0.00000000
 
 2  0.25000000           -0.70710678    -0.70710678     0.00000000
 
 3  0.50000000           -1.00000000    -1.00000000     0.00000000
 
 4  0.75000000           -0.70710678    -0.70710678     0.00000000
 
 5  1.00000000            0.00000000    -0.00000000     0.00000000
 
 1  0.00000000            0.00000000    -0.00000000     0.00000000
 
 2  0.25000000           -0.70710678    -0.70710678     0.00000000
 
 3  0.50000000           -1.00000000    -1.00000000     0.00000000
 
 4  0.75000000           -0.70710678    -0.70710678     0.00000000
 
 5  1.00000000            0.00000000    -0.00000000     0.00000000
 
 1  0.00000000            0.00000000    -0.00000000     0.00000000
 
 2  0.25000000           -0.70710678    -0.70710678     0.00000000
 
 3  0.50000000           -1.00000000    -1.00000000     0.00000000
 
 4  0.75000000           -0.70710678    -0.70710678     0.00000000
 
 5  1.00000000            0.00000000    -0.00000000     0.00000000
 
 1  0.00000000            0.00000000    -0.00000000     0.00000000
 
 2  0.25000000           -0.70710678    -0.70710678     0.00000000
 
 3  0.50000000           -1.00000000    -1.00000000     0.00000000
 
 4  0.75000000           -0.70710678    -0.70710678     0.00000000
 
 5  1.00000000            0.00000000    -0.00000000     0.00000000
 
 1  0.00000000            0.00000000    -0.00000000     0.00000000
 
 2  0.25000000           -0.70710678    -0.70710678     0.00000000
 
 3  0.50000000           -1.00000000    -1.00000000     0.00000000
 
 4  0.75000000           -0.70710678    -0.70710678     0.00000000
 
 5  1.00000000            0.00000000    -0.00000000     0.00000000
