FINITE DIFFERENCE METHOD FOR THE WAVE EQUATION

  I    X(I)                   W(X(I),T(J))    U(X,T=0.5)    Error
  1  0.00000000               0.00000000     0.00000000     0.00000000
  2  0.15707963               0.20323774     0.13728416     0.06595358
  3  0.31415927               0.40147109     0.27118793     0.13028316
  4  0.47123890               0.58981889     0.39841415     0.19140474
  5  0.62831853               0.76364339     0.51583009     0.24781330
  6  0.78539816               0.91866446     0.62054458     0.29811988
  7  0.94247780               1.05106496     0.70997921     0.34108575
  8  1.09955743               1.15758475     0.78193179     0.37565296
  9  1.25663706               1.23560096     0.83463061     0.40097035
 10  1.41371669               1.28319258     0.86677806     0.41641451
 11  1.57079633               1.29918773     0.87758256     0.42160517
 12  1.72787596               1.28319258     0.86677806     0.41641451
 13  1.88495559               1.23560096     0.83463061     0.40097035
 14  2.04203522               1.15758475     0.78193179     0.37565296
 15  2.19911486               1.05106496     0.70997921     0.34108575
 16  2.35619449               0.91866446     0.62054458     0.29811988
 17  2.51327412               0.76364339     0.51583009     0.24781330
 18  2.67035376               0.58981889     0.39841415     0.19140474
 19  2.82743339               0.40147109     0.27118793     0.13028316
 20  2.98451302               0.20323774     0.13728416     0.06595358
 21  3.14159265               0.00000000     0.00000000     0.00000000
  1  0.00000000               0.00000000     0.00000000     0.00000000
  2  0.15707963               0.20323774     0.13728416     0.06595358
  3  0.31415927               0.40147109     0.27118793     0.13028316
  4  0.47123890               0.58981889     0.39841415     0.19140474
  5  0.62831853               0.76364339     0.51583009     0.24781330
  6  0.78539816               0.91866446     0.62054458     0.29811988
  7  0.94247780               1.05106496     0.70997921     0.34108575
  8  1.09955743               1.15758475     0.78193179     0.37565296
  9  1.25663706               1.23560096     0.83463061     0.40097035
 10  1.41371669               1.28319258     0.86677806     0.41641451
 11  1.57079633               1.29918773     0.87758256     0.42160517
 12  1.72787596               1.28319258     0.86677806     0.41641451
 13  1.88495559               1.23560096     0.83463061     0.40097035
 14  2.04203522               1.15758475     0.78193179     0.37565296
 15  2.19911486               1.05106496     0.70997921     0.34108575
 16  2.35619449               0.91866446     0.62054458     0.29811988
 17  2.51327412               0.76364339     0.51583009     0.24781330
 18  2.67035376               0.58981889     0.39841415     0.19140474
 19  2.82743339               0.40147109     0.27118793     0.13028316
 20  2.98451302               0.20323774     0.13728416     0.06595358
 21  3.14159265               0.00000000     0.00000000     0.00000000
  1  0.00000000               0.00000000     0.00000000     0.00000000
  2  0.15707963               0.20323774     0.13728416     0.06595358
  3  0.31415927               0.40147109     0.27118793     0.13028316
  4  0.47123890               0.58981889     0.39841415     0.19140474
  5  0.62831853               0.76364339     0.51583009     0.24781330
  6  0.78539816               0.91866446     0.62054458     0.29811988
  7  0.94247780               1.05106496     0.70997921     0.34108575
  8  1.09955743               1.15758475     0.78193179     0.37565296
  9  1.25663706               1.23560096     0.83463061     0.40097035
 10  1.41371669               1.28319258     0.86677806     0.41641451
 11  1.57079633               1.29918773     0.87758256     0.42160517
 12  1.72787596               1.28319258     0.86677806     0.41641451
 13  1.88495559               1.23560096     0.83463061     0.40097035
 14  2.04203522               1.15758475     0.78193179     0.37565296
 15  2.19911486               1.05106496     0.70997921     0.34108575
 16  2.35619449               0.91866446     0.62054458     0.29811988
 17  2.51327412               0.76364339     0.51583009     0.24781330
 18  2.67035376               0.58981889     0.39841415     0.19140474
 19  2.82743339               0.40147109     0.27118793     0.13028316
 20  2.98451302               0.20323774     0.13728416     0.06595358
 21  3.14159265               0.00000000     0.00000000     0.00000000
  1  0.00000000               0.00000000     0.00000000     0.00000000
  2  0.15707963               0.20323774     0.13728416     0.06595358
  3  0.31415927               0.40147109     0.27118793     0.13028316
  4  0.47123890               0.58981889     0.39841415     0.19140474
  5  0.62831853               0.76364339     0.51583009     0.24781330
  6  0.78539816               0.91866446     0.62054458     0.29811988
  7  0.94247780               1.05106496     0.70997921     0.34108575
  8  1.09955743               1.15758475     0.78193179     0.37565296
  9  1.25663706               1.23560096     0.83463061     0.40097035
 10  1.41371669               1.28319258     0.86677806     0.41641451
 11  1.57079633               1.29918773     0.87758256     0.42160517
