FINITE DIFFERENCE METHOD FOR THE WAVE EQUATION

  I    X(I)                   W(X(I),T(J))   U(X,T=0.5)     Error
  1  0.00000000               0.00000000     0.00000000     0.00000000
  2  0.15707963               0.20316886     0.13728416     0.06588470
  3  0.31415927               0.40133502     0.27118793     0.13014709
  4  0.47123890               0.58961898     0.39841415     0.19120484
  5  0.62831853               0.76338457     0.51583009     0.24755449
  6  0.78539816               0.91835310     0.62054458     0.29780852
  7  0.94247780               1.05070872     0.70997921     0.34072952
  8  1.09955743               1.15719241     0.78193179     0.37526063
  9  1.25663706               1.23518219     0.83463061     0.40055157
 10  1.41371669               1.28275767     0.86677806     0.41597961
 11  1.57079633               1.29874741     0.87758256     0.42116485
 12  1.72787596               1.28275767     0.86677806     0.41597961
 13  1.88495559               1.23518219     0.83463061     0.40055157
 14  2.04203522               1.15719241     0.78193179     0.37526063
 15  2.19911486               1.05070872     0.70997921     0.34072952
 16  2.35619449               0.91835310     0.62054458     0.29780852
 17  2.51327412               0.76338457     0.51583009     0.24755449
 18  2.67035376               0.58961898     0.39841415     0.19120484
 19  2.82743339               0.40133502     0.27118793     0.13014709
 20  2.98451302               0.20316886     0.13728416     0.06588470
 21  3.14159265               0.00000000     0.00000000     0.00000000
  1  0.00000000               0.00000000     0.00000000     0.00000000
  2  0.15707963               0.20316886     0.13728416     0.06588470
  3  0.31415927               0.40133502     0.27118793     0.13014709
  4  0.47123890               0.58961898     0.39841415     0.19120484
  5  0.62831853               0.76338457     0.51583009     0.24755449
  6  0.78539816               0.91835310     0.62054458     0.29780852
  7  0.94247780               1.05070872     0.70997921     0.34072952
  8  1.09955743               1.15719241     0.78193179     0.37526063
  9  1.25663706               1.23518219     0.83463061     0.40055157
 10  1.41371669               1.28275767     0.86677806     0.41597961
 11  1.57079633               1.29874741     0.87758256     0.42116485
 12  1.72787596               1.28275767     0.86677806     0.41597961
 13  1.88495559               1.23518219     0.83463061     0.40055157
 14  2.04203522               1.15719241     0.78193179     0.37526063
