FINITE DIFFERENCE METHOD FOR THE WAVE EQUATION

  I    X(I)                  W(X(I),T(J)     U(X,T=0.5)      Error
  1  0.00000000               0.00000000     0.00000000     0.00000000
  2  0.31415927               0.27516017     0.27118793     0.00397225
  3  0.62831853               0.52338575     0.51583009     0.00755566
  4  0.94247780               0.72037868     0.70997921     0.01039948
  5  1.25663706               0.84685593     0.83463061     0.01222532
  6  1.57079633               0.89043702     0.87758256     0.01285446
  7  1.88495559               0.84685593     0.83463061     0.01222532
  8  2.19911486               0.72037868     0.70997921     0.01039948
  9  2.51327412               0.52338575     0.51583009     0.00755566
 10  2.82743339               0.27516017     0.27118793     0.00397225
 11  3.14159265               0.00000000     0.00000000     0.00000000
  1  0.00000000               0.00000000     0.00000000     0.00000000
  2  0.31415927               0.27516017     0.27118793     0.00397225
  3  0.62831853               0.52338575     0.51583009     0.00755566
  4  0.94247780               0.72037868     0.70997921     0.01039948
  5  1.25663706               0.84685593     0.83463061     0.01222532
  6  1.57079633               0.89043702     0.87758256     0.01285446
  7  1.88495559               0.84685593     0.83463061     0.01222532
  8  2.19911486               0.72037868     0.70997921     0.01039948
  9  2.51327412               0.52338575     0.51583009     0.00755566
 10  2.82743339               0.27516017     0.27118793     0.00397225
 11  3.14159265               0.00000000     0.00000000     0.00000000
  1  0.00000000               0.00000000     0.00000000     0.00000000
  2  0.31415927               0.27516017     0.27118793     0.00397225
  3  0.62831853               0.52338575     0.51583009     0.00755566
  4  0.94247780               0.72037868     0.70997921     0.01039948
  5  1.25663706               0.84685593     0.83463061     0.01222532
  6  1.57079633               0.89043702     0.87758256     0.01285446
  7  1.88495559               0.84685593     0.83463061     0.01222532
  8  2.19911486               0.72037868     0.70997921     0.01039948
  9  2.51327412               0.52338575     0.51583009     0.00755566
 10  2.82743339               0.27516017     0.27118793     0.00397225
 11  3.14159265               0.00000000     0.00000000     0.00000000
  1  0.00000000               0.00000000     0.00000000     0.00000000
  2  0.31415927               0.27516017     0.27118793     0.00397225
  3  0.62831853               0.52338575     0.51583009     0.00755566
  4  0.94247780               0.72037868     0.70997921     0.01039948
  5  1.25663706               0.84685593     0.83463061     0.01222532
  6  1.57079633               0.89043702     0.87758256     0.01285446
  7  1.88495559               0.84685593     0.83463061     0.01222532
  8  2.19911486               0.72037868     0.70997921     0.01039948
  9  2.51327412               0.52338575     0.51583009     0.00755566
 10  2.82743339               0.27516017     0.27118793     0.00397225
 11  3.14159265               0.00000000     0.00000000     0.00000000
  1  0.00000000               0.00000000     0.00000000     0.00000000
  2  0.31415927               0.27516017     0.27118793     0.00397225
  3  0.62831853               0.52338575     0.51583009     0.00755566
  4  0.94247780               0.72037868     0.70997921     0.01039948
  5  1.25663706               0.84685593     0.83463061     0.01222532
  6  1.57079633               0.89043702     0.87758256     0.01285446
  7  1.88495559               0.84685593     0.83463061     0.01222532
  8  2.19911486               0.72037868     0.70997921     0.01039948
  9  2.51327412               0.52338575     0.51583009     0.00755566
 10  2.82743339               0.27516017     0.27118793     0.00397225
 11  3.14159265               0.00000000     0.00000000     0.00000000
  1  0.00000000               0.00000000     0.00000000     0.00000000
  2  0.31415927               0.27516017     0.27118793     0.00397225
  3  0.62831853               0.52338575     0.51583009     0.00755566
  4  0.94247780               0.72037868     0.70997921     0.01039948
  5  1.25663706               0.84685593     0.83463061     0.01222532
  6  1.57079633               0.89043702     0.87758256     0.01285446
  7  1.88495559               0.84685593     0.83463061     0.01222532
  8  2.19911486               0.72037868     0.70997921     0.01039948
  9  2.51327412               0.52338575     0.51583009     0.00755566
 10  2.82743339               0.27516017     0.27118793     0.00397225
 11  3.14159265               0.00000000     0.00000000     0.00000000
  1  0.00000000               0.00000000     0.00000000     0.00000000
  2  0.31415927               0.27516017     0.27118793     0.00397225
  3  0.62831853               0.52338575     0.51583009     0.00755566
  4  0.94247780               0.72037868     0.70997921     0.01039948
  5  1.25663706               0.84685593     0.83463061     0.01222532
  6  1.57079633               0.89043702     0.87758256     0.01285446
  7  1.88495559               0.84685593     0.83463061     0.01222532
  8  2.19911486               0.72037868     0.70997921     0.01039948
  9  2.51327412               0.52338575     0.51583009     0.00755566
 10  2.82743339               0.27516017     0.27118793     0.00397225
 11  3.14159265               0.00000000     0.00000000     0.00000000
  1  0.00000000               0.00000000     0.00000000     0.00000000
  2  0.31415927               0.27516017     0.27118793     0.00397225
  3  0.62831853               0.52338575     0.51583009     0.00755566
  4  0.94247780               0.72037868     0.70997921     0.01039948
  5  1.25663706               0.84685593     0.83463061     0.01222532
  6  1.57079633               0.89043702     0.87758256     0.01285446
  7  1.88495559               0.84685593     0.83463061     0.01222532
  8  2.19911486               0.72037868     0.70997921     0.01039948
  9  2.51327412               0.52338575     0.51583009     0.00755566
 10  2.82743339               0.27516017     0.27118793     0.00397225
 11  3.14159265               0.00000000     0.00000000     0.00000000
  1  0.00000000               0.00000000     0.00000000     0.00000000
